Departamento;Municipio;latitud;longitud;
ANTIOQUIA;MEDELLÍN;6,257590259;-75,61103107;
ANTIOQUIA;ABEJORRAL;5,803728154;-75,43847353;
ANTIOQUIA;ABRIAQUÍ;6,627569378;-76,08597756;
ANTIOQUIA;ALEJANDRÍA;6,365534125;-75,09059702;
ANTIOQUIA;AMAGÁ;6,032921994;-75,7080031;
ANTIOQUIA;AMALFI;6,977788843;-74,9812393;
ANTIOQUIA;ANDES;5,604993248;-75,94128391;
ANTIOQUIA;ANGELÓPOLIS;6,121430303;-75,71594966;
ANTIOQUIA;ANGOSTURA;6,861498764;-75,358316;
ANTIOQUIA;ANORÍ;7,193110778;-75,10848954;
ANTIOQUIA;SANTA FÉ DE ANTIOQUIA;6,535711576;-75,90426658;
ANTIOQUIA;ANZÁ;6,293546613;-75,91736927;
ANTIOQUIA;APARTADÓ;7,86047815;-76,58236264;
ANTIOQUIA;ARBOLETES;8,611395262;-76,41478317;
ANTIOQUIA;ARGELIA;5,708114524;-75,09469795;
ANTIOQUIA;ARMENIA;6,163683758;-75,80995528;
ANTIOQUIA;BARBOSA;6,443417935;-75,32924085;
ANTIOQUIA;BELMIRA;6,665853953;-75,68621659;
ANTIOQUIA;BELLO;6,358841086;-75,58973588;
ANTIOQUIA;BETANIA;5,727081285;-75,98689107;
ANTIOQUIA;BETULIA;6,185783612;-75,95649246;
ANTIOQUIA;CIUDAD BOLÍVAR;5,840995666;-76,01065253;
ANTIOQUIA;BRICEÑO;7,111788462;-75,56223474;
ANTIOQUIA;BURITICÁ;6,80906489;-75,91206595;
ANTIOQUIA;CÁCERES;7,665155105;-75,22369744;
ANTIOQUIA;CAICEDO;6,423463639;-75,99351498;
ANTIOQUIA;CALDAS;6,054446841;-75,62642674;
ANTIOQUIA;CAMPAMENTO;7,036017478;-75,28766178;
ANTIOQUIA;CAÑASGORDAS;6,814950023;-76,02689632;
ANTIOQUIA;CARACOLÍ;6,33797388;-74,73354817;
ANTIOQUIA;CARAMANTA;5,555275296;-75,63082096;
ANTIOQUIA;CAREPA;7,757967437;-76,64374657;
ANTIOQUIA;EL CARMEN DE VIBORAL;5,978078841;-75,2635361;
ANTIOQUIA;CAROLINA;6,754821442;-75,30590654;
ANTIOQUIA;CAUCASIA;7,867941792;-75,03501824;
ANTIOQUIA;CHIGORODÓ;7,631665644;-76,63964213;
ANTIOQUIA;CISNEROS;6,550065431;-75,08254116;
ANTIOQUIA;COCORNÁ;6,005593074;-75,16015403;
ANTIOQUIA;CONCEPCIÓN;6,376106187;-75,21785901;
ANTIOQUIA;CONCORDIA;6,057468678;-75,90014678;
ANTIOQUIA;COPACABANA;6,351882893;-75,50075633;
ANTIOQUIA;DABEIBA;6,992243782;-76,31426328;
ANTIOQUIA;DONMATÍAS;6,492403905;-75,42227687;
ANTIOQUIA;EBÉJICO;6,326444922;-75,78331175;
ANTIOQUIA;EL BAGRE;7,704633351;-74,66427726;
ANTIOQUIA;ENTRERRÍOS;6,594656004;-75,55913083;
ANTIOQUIA;ENVIGADO;6,154394922;-75,54686779;
ANTIOQUIA;FREDONIA;5,887702934;-75,67926242;
ANTIOQUIA;FRONTINO;6,691364773;-76,33199656;
ANTIOQUIA;GIRALDO;6,663095863;-75,94804663;
ANTIOQUIA;GIRARDOTA;6,379745895;-75,44795744;
ANTIOQUIA;GÓMEZ PLATA;6,709562839;-75,19270291;
ANTIOQUIA;GRANADA;6,123380721;-75,12763646;
ANTIOQUIA;GUADALUPE;6,861576325;-75,22591303;
ANTIOQUIA;GUARNE;6,266625703;-75,43730801;
ANTIOQUIA;GUATAPÉ;6,236329826;-75,15651272;
ANTIOQUIA;HELICONIA;6,214511788;-75,74971002;
ANTIOQUIA;HISPANIA;5,797039002;-75,90669203;
ANTIOQUIA;ITAGÜÍ;6,179279438;-75,6142037;
ANTIOQUIA;ITUANGO;7,341549718;-75,67842277;
ANTIOQUIA;JARDÍN;5,574444339;-75,81842575;
ANTIOQUIA;JERICÓ;5,769820536;-75,76488256;
ANTIOQUIA;LA CEJA;5,992524843;-75,43086935;
ANTIOQUIA;LA ESTRELLA;6,137595883;-75,64895499;
ANTIOQUIA;LA PINTADA;5,746583958;-75,60220206;
ANTIOQUIA;LA UNIÓN;5,940434685;-75,35429023;
ANTIOQUIA;LIBORINA;6,723990935;-75,78300046;
ANTIOQUIA;MACEO;6,534573585;-74,71410854;
ANTIOQUIA;MARINILLA;6,18520515;-75,30487933;
ANTIOQUIA;MONTEBELLO;5,916853903;-75,51972693;
ANTIOQUIA;MURINDÓ;6,828773855;-76,70861349;
ANTIOQUIA;MUTATÁ;7,329557848;-76,4630657;
ANTIOQUIA;NARIÑO;5,581275312;-75,19457019;
ANTIOQUIA;NECOCLÍ;8,493728551;-76,67699588;
ANTIOQUIA;NECHÍ;7,983477394;-74,65844186;
ANTIOQUIA;OLAYA;6,611418083;-75,77567097;
ANTIOQUIA;PEÑOL;6,232396368;-75,22350906;
ANTIOQUIA;PEQUE;7,044180058;-75,88968843;
ANTIOQUIA;PUEBLORRICO;5,80970186;-75,86076667;
ANTIOQUIA;PUERTO BERRÍO;6,481922267;-74,5287421;
ANTIOQUIA;PUERTO NARE;6,126539139;-74,70317722;
ANTIOQUIA;PUERTO TRIUNFO;5,954830151;-74,6861918;
ANTIOQUIA;REMEDIOS;6,997267375;-74,55865652;
ANTIOQUIA;RETIRO;6,053444254;-75,51573805;
ANTIOQUIA;RIONEGRO;6,150785807;-75,41076052;
ANTIOQUIA;SABANALARGA;6,901000506;-75,79222754;
